Abactochromis labrosus,47
Abalistes stellaris,51
Ablabys taenianotus,57
Ablennes hians,79
Abramis brama,60
Abramites hypselonotus,44
Abudefduf bengalensis,36
Abudefduf luridus,44
Abudefduf saxatilis,87
Abudefduf septemfasciatus,32
Abudefduf sexfasciatus,62
Abudefduf sordidus,55
Abudefduf taurus,29
Abudefduf vaigiensis,48
Acanthistius ocellatus,30
Acanthochromis polyacanthus,44
Acanthocybium solandri,60
Acanthogobius flavimanus,30
Acanthopagrus bifasciatus,58
Acanthostracion polygonius,69
Acanthostracion quadricornis,43
Acanthurus achilles,52
Acanthurus bahianus,41
Acanthurus chirurgus,70
Acanthurus coeruleus,128
Acanthurus dussumieri,56
Acanthurus guttatus,50
Acanthurus japonicus,48
Acanthurus leucosternon,89
Acanthurus lineatus,91
Acanthurus nigricans,57
Acanthurus nigricauda,51
Acanthurus nigrofuscus,36
Acanthurus olivaceus,79
Acanthurus pyroferus,57
Acanthurus sohal,85
Acanthurus tennentii,53
Acanthurus triostegus,73
Acanthurus tristis,29
Acanthurus xanthopterus,36
Acarichthys heckelii,36
Acentrogobius caninus,50
Achoerodus gouldii,51
Acreichthys radiatus,34
Acreichthys tomentosus,33
Aeoliscus strigatus,61
Aequidens diadema,31
Aethaloperca rogaa,80
Aetobatus narinari,106
Aetobatus ocellatus,49
Alectis ciliaris,60
Alepes vari,32
Alepisaurus ferox,31
Allothunnus fallai,31
Alopias pelagicus,54
Aluterus monoceros,62
Aluterus scriptus,145
Amanses scopas,32
Amatitlania nigrofasciata,55
Amblyeleotris diagonalis,52
Amblyeleotris guttata,64
Amblyeleotris periophthalma,35
Amblyeleotris randalli,62
Amblyeleotris wheeleri,51
Amblyglyphidodon aureus,80
Amblyglyphidodon curacao,56
Amblyglyphidodon leucogaster,79
Amblygobius decussatus,50
Amblygobius nocturnus,29
Amblygobius phalaena,53
Amblypomacentrus breviceps,30
Amblyraja hyperborea,31
Amphichaetodon howensis,33
Amphiprion akallopisos,42
Amphiprion akindynos,53
Amphiprion bicinctus,73
Amphiprion chrysopterus,81
Amphiprion clarkii,109
Amphiprion ephippium,51
Amphiprion frenatus,53
Amphiprion latezonatus,61
Amphiprion mccullochi,32
Amphiprion melanopus,79
Amphiprion nigripes,43
Amphiprion ocellaris,98
Amphiprion percula,74
Amphiprion perideraion,88
Amphiprion polymnus,50
Amphiprion rubrocinctus,52
Amphiprion sandaracinos,70
Anabas testudineus,50
Anampses caeruleopunctatus,49
Anampses femininus,48
Anampses lennardi,32
Anampses melanurus,30
Anampses meleagrides,57
Anampses neoguinaicus,33
Anampses twistii,54
Anguilla australis,46
Anisotremus surinamensis,33
Anisotremus virginicus,71
Anoplocapros inermis,35
Anoplogaster cornuta,39
Antennarius coccineus,39
Antennarius commerson,47
Antennarius striatus,58
Antigonia capros,42
Anyperodon leucogrammicus,66
Aphareus furca,38
Apistus carinatus,54
Apogon doryssa,36
Apolemichthys trimaculatus,73
Aprion virescens,43
Aptychotrema rostrata,47
Aracana aurita,52
Aracana ornata,57
Archosargus probatocephalus,30
Argyropelecus aculeatus,34
Argyropelecus gigas,29
Arothron caeruleopunctatus,29
Arothron hispidus,108
Arothron immaculatus,31
Arothron manilensis,66
Arothron mappa,62
Arothron meleagris,110
Arothron nigropunctatus,98
Arothron reticularis,50
Arothron stellatus,96
Arripis georgianus,32
Arripis trutta,43
Assessor flavissimus,31
Asterropteryx semipunctata,37
Atule mate,46
Aulostomus chinensis,93
Aulostomus maculatus,90
Auxis rochei,47
Balistapus undulatus,100
Balistes capriscus,42
Balistes vetula,58
Balistoides conspicillum,107
Balistoides viridescens,96
Batrachomoeus dubius,52
Beryx splendens,49
Blenniella chrysospilos,36
Bodianus anthioides,72
Bodianus axillaris,61
Bodianus bilunulatus,32
Bodianus diana,29
Bodianus loxozonus,30
Bodianus mesothorax,54
Bodianus perditio,33
Bodianus rufus,61
Bolbometopon muricatum,73
Bothus mancus,59
Bothus ocellatus,35
Brachaelurus waddi,36
Brachaluteres jacksonianus,54
Brachionichthys hirsutus,50
Brachysomophis crocodilinus,49
Brama brama,40
Bryaninops erythrops,35
Caesioperca lepidoptera,29
Caesio caerulaurea,53
Caesio cuning,70
Caesio lunaris,31
Caesio teres,56
Caesio xanthonota,36
Calamus bajonado,33
Calamus calamus,29
Callechelys marmorata,36
Callochromis macrops,41
Callochromis melanostigma,33
Callochromis pleurospilus,35
Calloplesiops altivelis,76
Callorhinchus milii,58
Calotomus carolinus,57
Calotomus viridescens,30
Campostoma anomalum,30
Cantherhines dumerilii,69
Cantherhines fronticinctus,30
Cantherhines macrocerus,107
Cantherhines pardalis,38
Cantherhines pullus,52
Canthidermis sufflamen,58
Canthigaster amboinensis,39
Canthigaster bennetti,31
Canthigaster compressa,38
Canthigaster epilampra,31
Canthigaster jactator,35
Canthigaster janthinoptera,34
Canthigaster margaritata,34
Canthigaster punctatissima,33
Canthigaster rostrata,80
Canthigaster smithae,32
Canthigaster valentini,89
Carangoides chrysophrys,33
Carangoides coeruleopinnatus,30
Carangoides fulvoguttatus,51
Caranx crysos,37
Caranx ignobilis,51
Caranx latus,38
Caranx lugubris,63
Caranx melampygus,101
Caranx ruber,72
Caranx sexfasciatus,61
Carassius auratus,61
Carassius carassius,59
Carassius gibelio,31
Carcharhinus albimarginatus,75
Carcharhinus amblyrhynchos,126
Carcharhinus brachyurus,56
Carcharhinus falciformis,35
Carcharhinus galapagensis,78
Carcharhinus leucas,97
Carcharhinus limbatus,61
Carcharhinus longimanus,31
Carcharhinus melanopterus,97
Carcharias taurus,53
Carcharodon carcharias,166
Carinotetraodon lorteti,35
Carinotetraodon travancoricus,39
Carnegiella strigata,52
Catlocarpio siamensis,35
Centroberyx affinis,43
Centrolophus niger,50
Centropogon australis,34
Centropristis ocyurus,30
Centropristis striata,65
Centropyge abei,45
Centropyge aurantia,41
Centropyge bicolor,77
Centropyge bispinosa,61
Centropyge boylei,29
Centropyge eibli,56
Centropyge ferrugata,37
Centropyge fisheri,38
Centropyge flavissima,69
Centropyge heraldi,68
Centropyge loriculus,64
Centropyge multicolor,37
Centropyge multispinis,32
Centropyge nox,32
Centropyge potteri,54
Centropyge shepardi,37
Centropyge tibicen,64
Centropyge venusta,34
Centropyge vrolikii,54
Cephalopholis argus,77
Cephalopholis boenak,49
Cephalopholis cruentata,69
Cephalopholis cyanostigma,58
Cephalopholis formosa,54
Cephalopholis fulva,128
Cephalopholis hemistiktos,34
Cephalopholis leopardus,31
Cephalopholis miniata,112
Cephalopholis sexmaculata,47
Cephalopholis sonnerati,80
Cephalopholis spiloparaea,31
Cephalopholis urodeta,38
Cetorhinus maximus,76
Cetoscarus bicolor,64
Chaenopsis ocellata,48
Chaetodermis penicilligerus,55
Chaetodipterus faber,85
Chaetodontoplus caeruleopunctatus,32
Chaetodontoplus conspicillatus,50
Chaetodontoplus duboulayi,58
Chaetodontoplus melanosoma,31
Chaetodontoplus meredithi,34
Chaetodontoplus mesoleucus,61
Chaetodontoplus septentrionalis,44
Chaetodon adiergastos,79
Chaetodon argentatus,29
Chaetodon auriga,113
Chaetodon auripes,32
Chaetodon austriacus,63
Chaetodon baronessa,56
Chaetodon bennetti,62
Chaetodon capistratus,124
Chaetodon citrinellus,70
Chaetodon decussatus,54
Chaetodon ephippium,90
Chaetodon falcula,65
Chaetodon fasciatus,76
Chaetodon flavirostris,38
Chaetodon fremblii,32
Chaetodon guentheri,52
Chaetodon humeralis,33
Chaetodon kleinii,80
Chaetodon larvatus,46
Chaetodon lineolatus,64
Chaetodon lunulatus,75
Chaetodon lunula,98
Chaetodon melannotus,89
Chaetodon melapterus,35
Chaetodon mertensii,51
Chaetodon meyeri,69
Chaetodon miliaris,39
Chaetodon modestus,29
Chaetodon multicinctus,33
Chaetodon ocellatus,67
Chaetodon ocellicaudus,34
Chaetodon octofasciatus,57
Chaetodon ornatissimus,91
Chaetodon oxycephalus,37
Chaetodon paucifasciatus,66
Chaetodon pelewensis,50
Chaetodon plebeius,47
Chaetodon punctatofasciatus,61
Chaetodon quadrimaculatus,45
Chaetodon rafflesii,58
Chaetodon rainfordi,46
Chaetodon reticulatus,58
Chaetodon sedentarius,47
Chaetodon semeion,45
Chaetodon semilarvatus,85
Chaetodon speculum,48
Chaetodon striatus,94
Chaetodon tinkeri,42
Chaetodon triangulum,38
Chaetodon trifascialis,76
Chaetodon ulietensis,79
Chaetodon unimaculatus,73
Chaetodon vagabundus,75
Chaetodon wiebeli,35
Chaetodon xanthocephalus,51
Chaetodon xanthurus,70
Chalinochromis brichardi,53
Champsochromis caeruleus,41
Channa argus,32
Channa asiatica,37
Channa micropeltes,30
Channa pleurophthalma,37
Chanos chanos,56
Cheilinus chlorourus,49
Cheilinus fasciatus,87
Cheilinus lunulatus,66
Cheilinus trilobatus,53
Cheilinus undulatus,113
Cheilio inermis,73
Cheilochromis euchilus,37
Cheilodactylus nigripes,34
Cheilodactylus spectabilis,52
Cheilodactylus vestitus,32
Cheilodipterus artus,55
Cheilodipterus intermedius,38
Cheilodipterus macrodon,70
Cheilodipterus quinquelineatus,63
Cheilopogon abei,50
Chelidonichthys kumu,50
Chelmonops curiosus,50
Chelmonops truncatus,50
Chelmon marginalis,64
Chelmon rostratus,100
Chelonodon patoca,54
Chilatherina bleheri,38
Chilodus punctatus,43
Chilomycterus antillarum,38
Chilomycterus reticulatus,51
Chilomycterus schoepfii,44
Chirocentrus dorab,35
Chitala blanci,40
Chitala chitala,49
Chlorurus bleekeri,65
Chlorurus capistratoides,60
Chlorurus enneacanthus,30
Chlorurus frontalis,49
Chlorurus gibbus,42
Chlorurus perspicillatus,29
Chlorurus sordidus,64
Choerodon anchorago,50
Choerodon fasciatus,79
Choerodon schoenleinii,33
Chromis agilis,37
Chromis amboinensis,38
Chromis analis,31
Chromis atripectoralis,57
Chromis caudalis,32
Chromis cyanea,93
Chromis insolata,41
Chromis iomelas,47
Chromis limbata,47
Chromis margaritifer,49
Chromis multilineata,40
Chromis retrofasciata,50
Chromis ternatensis,31
Chromis viridis,56
Chromis weberi,29
Chromis xanthura,29
Chromobotia macracanthus,64
Chrysiptera biocellata,31
Chrysiptera brownriggii,29
Chrysiptera cyanea,33
Chrysiptera hemicyanea,35
Chrysiptera parasema,49
Chrysiptera rollandi,34
Chrysiptera starcki,34
Chrysiptera talboti,51
Cichla monoculus,34
Cirrhilabrus cyanopleura,62
Cirrhilabrus exquisitus,55
Cirrhilabrus filamentosus,30
Cirrhilabrus jordani,46
Cirrhilabrus laboutei,45
Cirrhilabrus lineatus,36
Cirrhilabrus scottorum,36
Cirrhilabrus temminckii,32
Cirrhitichthys aprinus,85
Cirrhitichthys aureus,32
Cirrhitichthys falco,63
Cirrhitichthys oxycephalus,85
Cirrhitops fasciatus,46
Cirrhitus pinnulatus,38
Cleidopus gloriamaris,64
Cleithracara maronii,47
Clepticus parrae,36
Clupea harengus,30
Cnidoglanis macrocephalus,32
Colomesus psittacus,50
Colossoma macropomum,60
Cookeolus japonicus,34
Copadichromis azureus,65
Copadichromis borleyi,55
Copadichromis pleurostigma,35
Copella arnoldi,49
Coradion altivelis,49
Coradion chrysozonus,52
Coris aygula,85
Coris batuensis,56
Coris caudimacula,31
Coris picta,38
Coryphaena hippurus,97
Corythoichthys haematopterus,50
Cryptocentrus cinctus,65
Cryptocentrus fasciatus,29
Cryptocentrus leptocephalus,37
Ctenochaetus binotatus,37
Ctenochaetus tominiensis,51
Ctenochaetus truncatus,31
Ctenogobiops feroculus,36
